address,avg_gas,bytecode_len,distinct_tokens,exploit_score,log_tvl,token_transfer_count,total_tvl_usd,tx_count,unique_byte_pairs,unique_callers
0x39da41747a83aee658334415666f3ef92dd0d541,853977.1295151975,14571,3,1.2946878817416059,9.362478447991311,523502,2303978636.5095673,346801,255,81029
0x0a267cf51ef038fc00e71801f5a524aec06e4f07,1096210.6724574447,14165,6,1.2925651555523925,8.888225301160917,109896,773081535.532119,99929,253,34129
0x1814222fa8c8c1c1bf380e3bbfbd9de8657da476,3265054.5,16070,75,1.2905896632764777,8.233470696141758,9069,171186965.50384635,4,255,2
0x369cbc5c6f139b1132d3b91b87241b37fc5b971f,2808370.5159332324,24444,3,1.2901310390068557,9.675749128306922,918,4739681167.633269,659,256,240
0x07b577f10d4e00f3018542d08a87f255a49175a5,2932048.439882698,24444,8,1.2895443225432568,9.066397059740753,3099,1165190833.4266748,1023,256,342
0x1e0447b19bb6ecfdae1e4ae1694b0c3659614e4e,411945.13991648477,16851,4,1.2886361020756079,11.515261352592287,198546,327537743400.7226,316110,256,34112
0xfaae2946e846133af314d1df13684c89fa7d83dd,709202.7628868707,7374,1,1.2879757806920793,8.849052185777492,40921,706402431.0289099,113410,254,45723
0x11111254369792b2ca5d084ab5eea397ca8fa48b,572807.5853774056,12681,270,1.2875857529507533,10.310964938095843,545215,20462794276.422966,339926,254,34675
0xa195608c2306a26f727d5199d5a382a4508308da,1130685.3063903926,23291,83,1.2866691576007763,9.103338236132965,20856,1268639518.8377557,16071,254,5464
0x45f783cce6b7ff23b2ab2d70e416cdb7d6055f51,809301.6837198038,21558,4,1.2864025277360565,10.343183238823135,79458,22038561243.66185,16517,255,4647
0xd7852e139a7097e119623de0751ae53a61efb442,970426.8310926737,12281,34,1.2859114631381199,9.964774447505235,104406,9220924104.674175,39051,253,5190
0xbbc81d23ea2c3ec7e56d39296f0cbb648873a5d3,925125.1511384887,10476,4,1.285446935989296,10.110471183286617,82358,12896479830.313488,54546,240,12836
0x56dd5bbede9bfdb10a2845c4d70d4a2950163044,1048817.7161117627,12572,2,1.284764711552366,8.353960012567038,33921,225922773.34537303,33249,252,11426
0xadc0a53095a0af87f3aa29fe0715b5c28016364e,926791.6744934926,11318,38,1.2843563697569558,10.359529384233978,221313,22883865377.818375,44718,244,6388
0x853c2d147a1bd7eda8fe0f58fb3c5294db07220e,678623.240742533,21866,115,1.2843263976461132,9.657688143490073,58222,4546614612.505436,51661,255,11382
0xf403c135812408bfbe8713b5a23a04b3d48aae31,585263.9866358093,14398,6,1.2842733274079852,9.724624239321614,505418,5304253104.496108,136110,252,25018
0xbbba5ba03d948d0a4cc010ca03d3b6e1b14f7098,3713264.741368487,17031,13,1.284175726118447,6.677746892249876,1119,4761533.0270654345,1593,256,474
0xc972d37d48038d289251347a7e52aede64b47a40,2900027,20705,5,1.2837260999811455,7.1818306381726105,28,15199545.773881638,7,255,2
0xb748952c7bc638f31775245964707bcc5ddfabfc,1036930.7086312564,10038,18,1.28372470694449,9.535674768030358,8484,3433007623.990488,3916,246,3447
0xd03bd9ef8c72aee3dbb5b8df83c479d847622dba,1829073.3708677685,11544,9,1.283676478442169,8.831204413281148,2312,677960533.2938893,1936,256,573
0x6adbcd5e084a1745d7e2090bfb99d300bce8fd0b,7927981.828193832,8442,1,1.2830577013683446,5.591806067054423,194,390665.4058819839,227,253,90
0x35bb522b102326ea3f1141661df4626c87000e3e,864500.0831067502,9470,39,1.282819579575406,9.808962519202716,124627,6441136742.510061,25377,242,8455
0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,673855.086482112,5725,5,1.282625521857109,10.100661491859105,149017,12608443940.444586,286672,237,34242
0xaa7103f98e57c63e1bc7a9479c8c025adff9f71d,3412891,21568,2,1.2825538060730015,6.450105122540333,60,2819064.2135542124,1,254,1
0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,170840.6144892219,19629,17,1.2825017247460646,11.509839283454532,264696,323473928875.1741,308588,256,106466
0x14de8287adc90f0f95bf567c0707670de52e3813,10702596.666666666,22142,2,1.2821073766619826,7.343773138177982,7100,22068515.41763898,15,256,3
0x79a8c46dea5ada233abaffd40f3a0a2b1e5a4f27,860640.515827491,21590,5,1.281348371051236,9.633026806822379,39951,4295629406.146408,4707,255,1949
0x818e6fecd516ecc3849daf6845e3ec868087b755,411541.9761563404,6527,5,1.2813112443003796,9.646099882359342,300258,4426901738.202943,389202,251,55032
0x498c5431eb517101582988fbb36431ddaac8f4b1,737618.2199120352,12570,30,1.2812727678632507,9.282887958147196,46840,1918173814.0329757,15006,254,5396
0x135896de8421be2ec868e0b811006171d9df802a,922365.1653716216,11404,36,1.2811876357856329,9.707653971703342,60758,5100984121.148927,17760,246,4029
0x5cc9400ffb4da168cf271e912f589462c3a00d1f,961681.7472067751,10660,68,1.2811305507773205,8.801430538517018,26268,633039103.7216784,19601,249,5794
0x9aab3f75489902f3a48495025729a0af77d4b11e,453284.6584704616,9699,4,1.2811028512964313,9.79050044991226,142035,6173059312.933858,121723,251,27101
0x1fff8345cff27fbf204644fbbcc08450d7fc63ee,1922643.552514793,10492,10,1.281051681008157,8.42477450916895,1012,265934392.8459834,1352,256,389
0x60744434d6339a6b27d73d9eda62b6f66a0a04fa,3136851.9,6740,1,1.2810277955640346,12.232438231882849,28831,1707804807947.738,10,239,5
0x722122df12d4e14e13ac3b6895a86e84145b6967,673276.6236028814,5732,5,1.280709403238871,9.91799346998166,74712,8279297148.3139515,143957,240,18916
0xf68db1f9a5b224f6687fc56e74a224dcb6913221,4073450.5714285714,13175,2,1.280659199116935,5.604742299644209,1070,402477.1421842674,14,254,2
0xeead394a017b8428e2d5a976a054f303f78f3c0c,633878.803972002,21511,42,1.280473313580868,9.35541839876856,28633,2266827113.415492,23716,254,7412
0xabb735648a076d570aff2a61d8d141099823eae9,2829987.975609756,24444,7,1.2802491910086962,8.03074882698468,1198,107336844.31102653,287,256,110
0x00000000005bbb0ef59571e58418f9a4357b68a0,423904.6143385943,6737,34,1.280244046692127,9.963081973238982,163657,9185059483.49635,220175,237,74124
0x98c49e13bf99d7cad8069faa2a370933ec9ecf17,3283453.8106765985,24544,1,1.2800873568186637,8.407054948362438,2909,255302428.92363843,3222,256,111
0x4095f064b8d3c3548a3bebfd0bbfd04750e30077,325163.43783161393,15783,39,1.2798075160278308,10.587902350882601,103612,38717058159.900154,172829,255,23602
0xf24629fbb477e10f2cf331c2b7452d8596b5c7a5,849404.3212801004,18934,85,1.2796844985652964,8.146018768583733,13846,139964779.8810798,12749,255,5832
0x2e6abcbcced9af05bc3b8a4908e0c98c29a88e10,4460919.4477033755,24544,1,1.2796127869757261,7.990791802410458,828,97902052.76270995,1807,256,54
0xdc9c7a2bae15dd89271ae5701a6f4db147baa44c,1010086,18005,18,1.2794981572538333,9.917844070134974,4748,8276449511.408924,2,256,1
0xee030ec6f4307411607e55acd08e628ae6655b86,443455.90641020116,20281,384,1.2794758054997344,9.198176535866505,160808,1578252680.4518955,46426,256,18015
0xe9cda459bed6dcfb8ac61cd8ce08e2d52370cb06,4124451.48005698,24544,1,1.279348041315919,7.890533099364066,963,77720054.01787451,1404,256,63
0x02e7b8511831b1b02d9018215a0f8f500ea5c6b3,912467.7629849812,11747,33,1.2792606821461914,9.320017426420554,34137,2089379966.248548,6392,249,2403
0x67cdb77c6c641f9881cdce6a9e223411fefd507c,3410489,21568,2,1.2792414239435652,5.6575795314656725,27,454546.7699973021,1,254,1
0x77b2043768d28e9c9ab44e1abfc95944bce57931,192220.82235226428,22628,3,1.2792136256936002,9.91210449927338,283972,8167788796.995241,213777,256,127949
0xa62f9c5af106feee069f38de51098d9d81b90572,264390.05867888575,10584,3,1.2791906735480791,9.607871208008913,228845,4053882977.8917227,110210,255,63481
0xea8e9da3bcc2e0d18cca1a74460d42d753d7b12b,1680889,21526,2,1.2791110965860697,7.604456876903739,236,40221370.636629686,3,256,2
0x16c6521dff6bab339122a0fe25a9116693265353,296533.4897216689,15552,124,1.2789201382300703,10.027346936311522,322670,10649934488.16086,72288,253,34180
0x0de8bf93da2f7eecb3d9169422413a9bef4ef628,10129134.224086946,3821,4,1.2788930136826346,4.224652571964794,32,16773.615411451985,371637,209,10008
0xd63070114470f685b75b74d60eec7c1113d33a3d,649563.1538529594,19340,2,1.2787366155817987,10.595181834704649,85106,39371488537.94849,11303,256,1501
0xd6dd539e54b12d79f5d88399e211478acd3c87cb,2547008.2234108206,12179,2,1.278670732507984,6.284868982736707,4401,1926942.5082672695,4861,255,914
0xd6b88257e91e4e4d4e990b3a858c849ef2dfde8c,539045.4488103035,10494,32,1.278591457448562,9.573674426784187,12576,3746920052.113376,9162,253,5619
0x1bd435f3c054b6e901b7b108a0ab7617c808677b,240554.38778769234,23087,667,1.2785260828557412,10.4019657958754,523606,25232820361.41636,132129,256,39818
0xa5644e29708357803b5a882d272c41cc0df92b34,891942.8659213998,7700,443,1.2783272718191294,8.970152492782468,28663,933582048.6844782,14402,234,9629
0x45312ea0eff7e09c83cbe249fa1d7598c4c8cd4e,310785.49788917135,15254,127,1.2781650793872972,10.112913924616347,557588,12969222007.529749,221477,249,45018
0x50f9bde1c76bba997a5d6e7fefff695ec8536194,286964.45592311607,10945,756,1.2780289948375174,8.93318373646444,256776,857400506.9511043,159097,250,106839
0x5a29f970788f3494f6350207fc91dad0d6e8c184,4852964.5,19018,2,1.277823856892825,8.430352961117684,11315,269372315.53342456,6,256,4
0x46a15b0b27311cedf172ab29e4f4766fbe7f4364,503643.2650627312,24466,76,1.2777226579221632,9.60683593834283,45131,4044230854.7531457,48381,256,7299
0x640f7b78830db57bafdf6f462d2b458da80825d3,2710898,20711,2,1.2776211246050888,6.424481505691258,15,2657549.37610697,4,254,1
0xb0b4e2936852e2621b51507263fc14b94386fac8,2224341,18653,2,1.2774586020287155,6.779356693835143,780,6016675.950597648,2,255,1
0x8761e0370f94f68db8eaa731f4fc581f6ad0bd68,942229.0110716821,12173,30,1.2774473498516663,9.21144086700401,19513,1627199742.0667872,7045,250,1684
0x99a58482bd75cbab83b27ec03ca68ff489b5788f,329835.82275541796,18657,110,1.2774190213931422,10.236539379583903,217634,17240084080.313423,83980,247,27186
0xc026395860db2d07ee33e05fe50ed7bd583189c7,267484.9636176992,23555,3,1.2770676241901824,9.728821293226463,218879,5355762291.1282425,75009,256,32861
0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,267194.22993569204,7608,6,1.2769506878463168,11.136325579645044,231319,136875456190.69125,223145,240,46899
0xf0d4c12a5768d806021f80a262b4d39d26c58b8d,321054.9760960909,14642,117,1.2768596929837273,10.186229989448584,240999,15354298854.637789,92579,244,34452
0x004395edb43efca9885cedad51ec9faf93bd34ac,792813.1906915494,22904,1,1.2766461150345634,8.051828090492464,25642,112675134.88361642,283248,256,9811
